,Weights 1-75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weights,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.00933619775366,0.0133333333333,0.0133333333333,0,0,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0,0,0,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0,0.0133333333333,0.05,0.0133333333333,0.0133333333333,0.0133333333333,0,0.0133333333333,0.0133333333333,0.0133333333333,0,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0,0.05,0.0133333333333,0,0,0.0133333333333,0.0133333333333,0.0133333333333,0.0406638022463
14,Num of Deviations,,,,,,,,,1,1,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,1,,,,,,,,,,,,,1,1,,1,1,,,,1
Case 3a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exposure bounds,Actual Exposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.95, 1.05]",0.95000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Bounds,Actual Beta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.59, 0.61]",0.60999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weights,0.0133333333333,0.0133333333333,0.0133333333333,0,0.0133333333333,0.0133333333333,0,0,0.0133333333333,0,0,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0390718236039,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0,0,0,0,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0,0.0133333333333,0.0133333333333,0.0133333333333,0.00759484306278,0,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0,0.0133333333333,0.05,0.0133333333333,0.0133333333333,0,0,0.0133333333333,0.0133333333333,0.05,0,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.05,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0,0.05,0,0,0,0.0133333333333,0.0133333333333,0.0133333333333,0.05
25,Num of Deviations,,,1,,,1,1,,1,1,,,,,,1,,,,,1,1,1,1,,,,,,,,,1,,,,,1,,,,,1,,1,,,1,1,,,1,1,,,,,1,,,,,,,,1,1,1,1,1,,,,1
Case 4.a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exposure bounds,Actual Exposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.95, 1.05]",0.9500000000000004,0.94999999999913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Bounds,Actual Beta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.49, 0.51]",0.5099999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weights,0.0133333333333,0,0,0,0.0133333333333,0.0133333333333,0,0,0.0133333333333,0,0,0,0.0133333333333,0.0133333333333,0.0133333333333,0,0.05,0.0133333333333,0.05,0.05,0.05,0,0,0,0,0.0133333333333,0.0133333333333,0,0.0133333333333,0.00479893528613,0.0133333333333,0.0133333333333,0.0133333333333,0,0.0133333333333,0.0133333333333,0.0133333333333,0,0,0,0,0,0.05,0,0.0133333333333,0.05,0.0485343980472,0,0,0,0,0.0133333333333,0.05,0,0.05,0.0133333333333,0,0,0.05,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0,0.0133333333333,0.0133333333333,0,0.05,0,0,0,0,0,0,0.05
48,,1,1,1,,,1,1,,1,1,1,,,,1,1,,1,1,1,1,1,1,1,,,1,,,,,,1,,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,,1,1,1,,,,,1,,,1,1,1,1,1,1,1,1,1
Case 5.a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exposure bounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.95, 1.05]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Bounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.24, 0.26]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optimization failed. Unable to find a feasible starting point.,No solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case1.b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exposure bounds,Actual Exposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.95, 1.05]",1.0499999999982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Bounds,Actual Beta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[1.24, 1.26]",1.2399999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weights,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.05,0.05,0.0133333333333,0.0133333333333,0,0.0133333333333,0.0133333333333,0,0.0133333333333,0,0,0,0.0133333333333,0.0133333333333,0.05,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0110188680115,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0,0.0133333333333,0.0133333333333,0,0,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0,0.05,0,0.0133333333333,0.0133333333333,0.0133333333333,0,0,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.0133333333333,0.05,0,0.0133333333333,0.05,0.0323144653218,0.0133333333333,0.0133333333333,0.0133333333333,0
21,Num of Deviations,,,,,,,,,1,1,,,1,,,1,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,1,1,1,,,,1,1,,,,,,,1,1,,1,1,,,,1
Case2.b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exposure bounds,Actual Exposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.95, 1.05]",1.0499999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Bounds,Actual Beta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[1.49, 1.51]",1.4899999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weights,0,0.0133333333333,0.0133333333333,0.0276229616373,0,0,0.05,0.05,0,0.05,0.05,0.0133333333333,0,0,0,0.0133333333333,0,0,0,0,0,0.0133333333333,0.05,0.05,0.05,0,0,0.0133333333333,0,0,0,0,0,0.05,0,0,0,0.0133333333333,0.05,0,0.0133333333333,0,0,0.05,0,0,0,0.0133333333333,0.05,0.05,0,0,0,0.05,0,0,0.0133333333333,0.0133333333333,0,0,0,0,0,0,0,0,0.05,0,0.05,0.05,0.05,0,0.0123770383627,0.0133333333333,0
62,1,,,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1
Case3.b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exposure bounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.95, 1.05]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Bounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[1.74, 1.76]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optimization failed. Unable to find a feasible starting point.,No solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
